date,wind_onshore_mwh,solar_mwh,wind_onshore_cf,solar_cf
2018-01-01,614020.96,28942.07,0.48671562192840606,0.026634264269570274
2018-01-02,396539.62,15883.94,0.31432482006404766,0.01461737379537808
2018-01-03,824979.02,12826.48,0.6539356193918641,0.011803711965604317
2018-01-04,556094.01,9094.62,0.44079870160753354,0.00836942597786956
2018-01-05,516887.6,17769.49,0.4097209803735058,0.01635257231412564
2018-01-06,174088.11,28727.82,0.13799431656044894,0.02643709830598317
2018-01-07,352421.88,16671.07,0.27935403785789026,0.015341738999197533
2018-01-08,479455.77,29844.34,0.38004991439170555,0.02746458834875691
2018-01-09,459789.22,29131.69,0.36446084213196356,0.026808764199630422
2018-01-10,131134.18,36981.65,0.10394605092108183,0.034032777863668824
2018-01-11,24067.84,20547.19,0.019077840134436728,0.018908781868645596
2018-01-12,78427.97,10918.65,0.062167451409366185,0.010048010027166111
2018-01-13,253745.61,11191.91,0.20113637876914295,0.010299480604574803
2018-01-14,317820.37,32869.42,0.25192647991375755,0.030248452120649923
2018-01-15,636561.17,29869.23,0.5045825565173278,0.027487493650197672
2018-01-16,598626.05,18016.18,0.47451254795649833,0.016579591551265913
2018-01-17,570813.8,18633.39,0.4524666286185358,0.017147585970801953
2018-01-18,628405.15,15321.06,0.49811752909096674,0.014099377167215143
2018-01-19,261887.43,25657.84,0.207590150290117,0.023611914805898505
2018-01-20,180395.8,14807.63,0.1429942293668157,0.013626887455735434
2018-01-21,83057.02,18163.42,0.06583675766511304,0.0167150908113759
2018-01-22,255207.95,9551.15,0.20229553092995975,0.008789552826674324
2018-01-23,318186.61,18407.41,0.25221678715241447,0.01693962534325743
2018-01-24,664283.06,40202.97,0.5265568502488982,0.036997233694811935
2018-01-25,332526.94,29536.31,0.26358392783537843,0.027181120289182882
2018-01-26,45603.29,27281.55,0.03614833222359618,0.02510615213022064
2018-01-27,225788.43,24974.08,0.1789755778559878,0.022982677003040543
2018-01-28,754383.21,21719.59,0.5979764814990963,0.0199876961076632
2018-01-29,806233.42,23402.94,0.6390765560100193,0.021536817810367294
2018-01-30,402624.1,49288.74,0.31914780113510255,0.045358515361000065
2018-01-31,605870.16,30687.56,0.4802547322362789,0.028240571003673685
2018-02-01,434144.72,32121.52,0.34413323187165096,0.029560188763978767
2018-02-02,310463.44,37476.41,0.24609486667300803,0.03448808629841495
2018-02-03,85271.87,24815.64,0.06759240147119439,0.022836870817412813
2018-02-04,154399.57,26273.54,0.12238781350074511,0.024178519631012068
2018-02-05,171863.31,52700.78,0.1362307856939028,0.04849848340953096
2018-02-06,92828.05,66599.6,0.07358195408858874,0.06128902827778637
2018-02-07,48361.08,55892.28,0.03833434795015695,0.05143549705148309
2018-02-08,33396.19,51927.42,0.026472137670820257,0.047786790202531085
2018-02-09,130490.02,41583.63,0.10343544500459749,0.03826780153278706
2018-02-10,107385.85,24727.61,0.08512147658454612,0.0227558602233658
2018-02-11,527572.12,28528.13,0.4181902723612036,0.026253331345569127
2018-02-12,383977.13,46900.64,0.3043669187355338,0.043160839572704314
2018-02-13,196205.53,97093.61,0.15552611845651415,0.08935148272485663
2018-02-14,237679.55,112714.52,0.1884013047338216,0.10372680021497302
2018-02-15,424083.93,31130.95,0.3361583515647294,0.028648605620219245
2018-02-16,274308.62,71399.1,0.2174360474333365,0.06570582194049959
2018-02-17,69949.58,34878.7,0.055446891150638895,0.03209751455853229
2018-02-18,92144.6,60083.35,0.07304020419163576,0.05529237618805722
2018-02-19,59088.26,58863.41,0.04683745521417927,0.05416971273126164
2018-02-20,94774.46,66063.99,0.07512481372269254,0.06079612717273671
2018-02-21,146514.05,92326.08,0.11613720314531215,0.0849641098129293
2018-02-22,248541.58,89061.24,0.19701130346555057,0.08195960421406012
2018-02-23,311111.04,105557.98,0.24660819937220582,0.09714091407705162
2018-02-24,486007.53,110877.17,0.3852432940169314,0.10203595828640001
2018-02-25,285563.94,123294.2,0.2263577951108152,0.11346286930082235
2018-02-26,310295.17,82185.42,0.24596148419417227,0.0756320538021512
2018-02-27,240089.8,99824.99,0.190311836139383,0.09186506578027108
2018-02-28,454527.5,111346.99,0.3602900377310631,0.10246831540664503
2018-03-01,624272.43,112378.67,0.4948416484352707,0.10341773048862189
2018-03-02,439734.91,103757.84,0.34856440438821773,0.09548431506798889
2018-03-03,323977.82,79541.64,0.25680730207045244,0.07319908562846478
2018-03-04,309807.03,103123.23,0.24557455055645394,0.09490030810345208
2018-03-05,233202.87,107197.53,0.18485277751355464,0.09864972833889171
2018-03-06,109254.52,78523.92,0.08660271410000317,0.0722625173929368
2018-03-07,138355.13,57582.73,0.10966987697771013,0.052991152608756475
2018-03-08,429529.3,94349.22,0.3404747296997368,0.08682592707113987
2018-03-09,339981.21,72447.67,0.26949269951488636,0.06667078023426169
2018-03-10,225812.21,57189.31,0.17899442753416406,0.05262910344472175
2018-03-11,190625.29,84865.96,0.1511028330004122,0.07809885077780478
2018-03-12,186614.13,50258.94,0.14792330923618377,0.04625135278397421
2018-03-13,395751.91,52602.63,0.31370042645613366,0.0484081597720697
2018-03-14,122340.96,73333.59,0.09697593455721489,0.06748605804271485
2018-03-15,549753.43,109172.45,0.4357727179048163,0.10046717060170358
2018-03-16,533711.96,49742.36,0.4230571356098798,0.04577596424969263
2018-03-17,729312.36,53661.96,0.5781035860363359,0.04938302007641849
2018-03-18,687558.32,83731.61,0.5450064364754748,0.07705495247771127
2018-03-19,208846.08,120563.79,0.1655458955578807,0.11095017889877862
2018-03-20,285058.86,101194.45,0.22595743365357177,0.09312532669272847
2018-03-21,146027.92,138379.17,0.11575186277307462,0.1273449819996908
2018-03-22,355466.03,56719.21,0.2817670423919592,0.052196488651338795
2018-03-23,56977.18,45317.05,0.045164066711056154,0.041703523128004655
2018-03-24,60321.09,147883.43,0.047814681822505464,0.13609138377837166
2018-03-25,32124.37,161941.03,0.025464004882843463,0.14902804772106515
2018-03-26,56920.57,73585.2,0.04511919369669298,0.06771760496499327
2018-03-27,87700.19,112229.82,0.06951725641269539,0.10328074960796874
2018-03-28,333064.48,46546.82,0.26401001934113316,0.04283523275246446
2018-03-29,344080.97,95369.84,0.27274245378737433,0.08776516406416797
2018-03-30,240883.92,146806.32,0.19094131075810902,0.13510016122976345
2018-03-31,224425.59,75423.75,0.17789529629981926,0.0694095512070146
2018-04-01,331032.04,74259.22,0.2623989663591109,0.06833787942369562
2018-04-02,186851.22,152675.72,0.1481112432226767,0.14050154235778284
2018-04-03,346684.3,143408.4,0.2748060337994229,0.13197318726947457
2018-04-04,305203.41,138124.38,0.24192540188338246,0.1271105086467743
2018-04-05,561385.9,98962.87,0.44499342084403437,0.09107169018854311
2018-04-06,254790.79,215843.72,0.2019648609657884,0.19863260227783053
2018-04-07,385836.71,213268.78,0.3058409508862044,0.19626298488562993
2018-04-08,171311.03,198782.86,0.13579301024128856,0.18293215466277948
2018-04-09,98507.01,146065.47,0.07808349186721202,0.13441838571460124
2018-04-10,320085.86,156075.58,0.2537222644979232,0.14363030162481316
2018-04-11,311780.44,152060.03,0.24713881226418086,0.13993494673528134
2018-04-12,375942.54,143181.6,0.29799814515361933,0.13176447202774036
2018-04-13,267688.39,85977.56,0.21218839373474113,0.07912181313544037
2018-04-14,223616.25,157515.2,0.17725375725292494,0.14495512806354957
2018-04-15,52756.5,143600.37,0.041818462855512224,0.13214984981337102
2018-04-16,58427.94,102477.85,0.04631403976029678,0.09430638992571652
2018-04-17,52487.1,195323.01,0.041604917720916956,0.17974818892594474
2018-04-18,66411.95,213943.94,0.05264272012429056,0.19688430844210822
